CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment
4232.704,12401.104,4066.024,3126.776,975.6,0.341072,0.327968,0.252456,0.078472,9,4,1,0,56
4180.96,12283.856,4005.264,3121.016,976.616,0.340128,0.326152,0.254464,0.079272,9,4,2,0,57
4092.528,12080.64,3918.568,3105.712,963.832,0.338576,0.3244,0.257456,0.079544,9,4,3,0,58
4202.88,12403.488,4017.528,3133.976,1049.104,0.338632,0.323928,0.253032,0.08436,10,4,1,0,59
4048.328,11895.496,3848.024,3000.976,998.168,0.340208,0.323456,0.252664,0.083656,10,4,3,0,65
4002.448,11164.472,3598.704,2571.152,992.168,0.358168,0.322504,0.230784,0.088496,11,4,1,0,74
4124.704,12212.216,3929.872,3115.768,1041.872,0.337536,0.321816,0.255416,0.085176,9,4,2,0.0025,60
3971.88,11687.368,3757.96,2976.752,980.776,0.33972,0.32152,0.255016,0.083688,9,4,2,0.0025,66
3962.616,11072.872,3556.424,2572.704,981.128,0.357744,0.321264,0.232608,0.088392,11,4,2,0,75
3946.024,11676.272,3743.048,2958.144,1029.056,0.337776,0.320608,0.253696,0.087904,10,4,1,0.0025,68
3943.936,11021.496,3527.52,2567.624,982.416,0.357632,0.320224,0.233336,0.088824,11,4,3,0,76
3950.856,11092.928,3550.472,2576.776,1014.824,0.355936,0.3202,0.232592,0.091232,11,4,1,0.0025,77
4068.528,12093.968,3860.992,3112.824,1051.624,0.336232,0.31932,0.257704,0.08676,9,4,3,0.0025,61
3893,10972.664,3501.064,2565.792,1012.808,0.354552,0.319256,0.234128,0.092072,11,4,2,0.0025,78
3901.904,11494.664,3668.064,2951.84,972.856,0.339344,0.319144,0.25712,0.084408,9,3,1,0,67
3913.24,11613.64,3697.528,2961,1041.872,0.336712,0.318416,0.255392,0.089424,10,4,2,0.0025,69
4353.8,12376.928,3929.376,3131.456,962.296,0.351456,0.317568,0.253432,0.077496,10,4,1,0.0025,29
4044.864,11670.512,3699.32,2972.864,953.464,0.34644,0.317016,0.255128,0.08144,10,3,1,0,38
3890.216,10956.136,3465.336,2569.72,1030.864,0.354944,0.316376,0.234808,0.093856,11,4,3,0.0025,79
4310.36,12297.48,3883.424,3132.056,971.64,0.350224,0.31592,0.2552,0.078736,9,3,2,0,30
3904.072,11568.192,3652.112,2961.36,1050.648,0.337352,0.315752,0.2564,0.090576,10,4,3,0.0025,70
4119.76,12367.12,3902.272,3144.632,1200.456,0.332952,0.315616,0.254608,0.096888,9,4,1,0.005,62
3911.704,11123.72,3495.168,2589.408,1127.44,0.351536,0.314384,0.233136,0.100944,11,4,1,0.005,80
4036.744,11663.768,3665.672,2988.464,972.888,0.34588,0.314312,0.256688,0.083144,10,3,2,0,39
4358.224,12497.728,3919.264,3157.808,1062.432,0.348496,0.313688,0.253008,0.084808,9,3,1,0.0025,32
4288.424,12263.776,3844.096,3145.528,985.728,0.349408,0.313544,0.256896,0.080136,9,3,3,0,31
3905.52,11722.84,3669.52,2973.032,1174.768,0.333088,0.313064,0.253904,0.099912,10,4,1,0.005,71
4031.664,11186.632,3499.04,2679.08,976.848,0.360248,0.31288,0.239744,0.087048,11,3,1,0,47
4076.096,12300.432,3845.648,3145.232,1233.456,0.331152,0.312736,0.256024,0.100064,9,4,2,0.005,63
4132.36,11949.184,3734.368,3014.816,1067.64,0.3456,0.312544,0.252672,0.089184,10,3,1,0.0025,41
4012.072,11580.184,3615.12,2980.32,972.672,0.346288,0.31224,0.25776,0.083672,10,3,3,0,40
3834.368,10975.36,3420.928,2578.672,1141.392,0.349208,0.31188,0.235264,0.10364,11,4,2,0.005,81
4036.064,11203.56,3492.256,2689.472,985.768,0.360048,0.311832,0.240392,0.08768,11,3,2,0,48
4311.552,12396.976,3858.12,3155.016,1072.288,0.347576,0.311232,0.254808,0.086352,9,3,2,0.0025,33
3900.096,11748.528,3647.864,2995.016,1205.552,0.331808,0.31052,0.255288,0.10232,10,4,2,0.005,72
4012.16,11662.752,3620.32,2980.256,1050.016,0.343896,0.310448,0.255912,0.089784,10,3,2,0.0025,42
3930.792,11012.288,3417.008,2665.088,999.4,0.356776,0.310392,0.242264,0.090496,11,3,1,0.0025,50
3932.72,10944.816,3394.336,2649.928,967.832,0.359064,0.310272,0.242456,0.088152,11,3,3,0,49
3982.176,12103.712,3744.136,3128.632,1248.768,0.328792,0.309392,0.258832,0.102984,9,4,3,0.005,64
4241.04,12253.64,3781.496,3148.784,1082.32,0.345864,0.308664,0.257328,0.088104,9,3,3,0.0025,34
3929.736,10996.584,3391.704,2664.864,1010.28,0.357232,0.308552,0.242624,0.091664,11,3,2,0.0025,51
3954.968,11542.168,3553.408,2981.248,1052.544,0.342528,0.307888,0.258648,0.091016,10,3,3,0.0025,43
3835.896,11049.56,3397.976,2599.576,1216.112,0.347,0.307664,0.235616,0.109736,11,4,3,0.005,82
3928.376,11016.512,3383.048,2675.08,1030.008,0.356368,0.307192,0.243232,0.093208,11,3,3,0.0025,52
3856.12,11659.536,3575.76,2984,1243.656,0.330576,0.306792,0.256296,0.10632,10,4,3,0.005,73
4327.416,12116.528,3695.824,3128.728,964.56,0.356944,0.305072,0.25868,0.079392,9,2,1,0,2
4184.2,11756.832,3576.168,3012.728,983.736,0.355744,0.3042,0.256656,0.083416,10,2,1,0,11
3974.696,11781.024,3570.128,2998.68,1237.52,0.337224,0.303128,0.254912,0.104752,10,3,1,0.005,44
4293.856,12060.448,3649.768,3138.896,977.928,0.355744,0.302664,0.260712,0.08084,9,2,2,0,3
4281.352,12582.008,3798.512,3189.368,1312.776,0.340056,0.30196,0.253872,0.104032,9,3,1,0.005,35
4118.64,11604.088,3497.384,2998.76,989.304,0.354776,0.301448,0.258856,0.084976,10,2,2,0,12
3900.48,11140.784,3352.784,2686.168,1201.352,0.349984,0.301064,0.241416,0.107544,11,3,1,0.005,53
4069.664,11269.52,3388.44,2815.848,995.568,0.36092,0.300792,0.250232,0.088032,11,2,1,0,20
4093.016,11631.92,3492.256,2992.576,1054.072,0.351696,0.300232,0.257704,0.09044,10,2,1,0.0025,14
4238.72,11956.696,3585.304,3142.88,989.792,0.354192,0.299856,0.263408,0.082472,9,2,3,0,4
4035.56,11402.056,3417.288,2972.536,976.672,0.353728,0.299728,0.261144,0.085416,10,2,3,0,13
4287.128,12150.328,3636.6,3139.92,1086.68,0.35264,0.299312,0.258808,0.089256,9,2,1,0.0025,5
4138.392,12261.504,3666.536,3148.744,1307.832,0.337368,0.299152,0.25716,0.10636,9,3,2,0.005,36
4023.272,11148.816,3333.744,2799.12,992.68,0.360728,0.299152,0.251456,0.088712,11,2,2,0,21
3914.856,11662.928,3488.384,2983.096,1276.592,0.335616,0.299144,0.25608,0.109072,10,3,2,0.005,45
3866.44,11111.92,3309.784,2691.32,1244.376,0.347808,0.29808,0.242576,0.111616,11,3,2,0.005,54
3990.272,11134.896,3317.472,2794.92,1032.232,0.35816,0.298024,0.251392,0.092408,11,2,1,0.0025,23
4034.888,11501.728,3421.368,2982.04,1063.432,0.35056,0.297464,0.259664,0.09224,10,2,2,0.0025,15
3925.936,10916,3240.816,2768.48,980.768,0.359456,0.296976,0.254008,0.089576,11,2,3,0,22
4262.656,12115.848,3597.248,3150.848,1105.096,0.351576,0.296888,0.260496,0.090992,9,2,2,0.0025,6
3942.992,11024.744,3265.168,2782.248,1034.336,0.357424,0.29624,0.252784,0.09352,11,2,2,0.0025,24
4125.12,12290.968,3627.952,3167.76,1370.136,0.335344,0.295352,0.258232,0.11112,9,3,3,0.005,37
3976.8,11384.688,3352.328,2986.512,1069.048,0.349072,0.294488,0.262776,0.09364,10,2,3,0.0025,16
