CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment,temp
3996.2,11200.8,3459.3,2761.1,984.2,0.3565,0.309,0.2468,0.0874,10.85201936,3.098055947,2.795280555,3.79E-01,642,9.48E-04
3879.7,11044.5,3479.3,2665.1,1020.4,0.3512,0.3153,0.2415,0.0922,10.83270188,3.777602925,1.328226244,1.87E+00,583,0.004673084
4208,11954,3626.5,3081.2,1038.3,0.352,0.3034,0.2579,0.0867,9.425091544,2.355408122,1.549363796,1.46E+00,524,0.003642821
4033.2,11574.3,3423.4,2983,1134.7,0.3482,0.2959,0.258,0.0978,9.949032545,2.134845163,2.214961646,1.47E+00,604,0.003680099
4219.6,12101.4,3765,3114.3,1002.5,0.3484,0.3111,0.2581,0.0825,9.11394654,2.898381723,2.80360483,5.42E-01,564,0.001354445
4194.9,12261.4,3965,3123.7,977.8,0.3417,0.3234,0.2552,0.0796,9.352708096,3.530450945,1.211316651,8.25E-01,637,0.002062376
4048.9,11589.3,3603.9,2899.2,1037.3,0.3492,0.311,0.2508,0.0892,10.52917829,3.198497382,1.262072167,1.41E+00,560,0.003529962
4477.7,12608.5,3933.5,3177.6,1019.7,0.355,0.312,0.2522,0.0808,9.023133868,2.588958116,1.716708628,4.93E-01,623,0.001231713
4028.4,11521.9,3450.7,2999.9,1042.9,0.3493,0.2997,0.2608,0.0903,9.307267969,2.111098555,1.238170702,1.50E+00,625,0.003761653
4033.6,11899.1,3761.2,3070.3,1034,0.3387,0.3164,0.2586,0.0864,9.260270703,3.684952768,2.625368121,1.71E+00,615,0.004283832
3883.5,11142.6,3293.2,2746.1,1219.8,0.3483,0.2956,0.247,0.1089,10.98005328,2.624675209,2.903969687,1.97E+00,958,0.004915791
4027.2,11753.9,3657.8,3020.4,1048.5,0.3422,0.3112,0.2575,0.0891,9.886700974,3.043554076,2.173116084,1.43E+00,568,0.003587206
3907.5,11398.5,3595.3,2936.9,958.8,0.3425,0.3156,0.258,0.084,9.934483455,3.492222095,2.971981614,4.53E-01,610,0.001133309
4056.5,11407.3,3441.9,2865.3,1043.6,0.3556,0.3018,0.2513,0.0912,10.84631908,2.223827194,1.146771646,1.02E+00,607,0.002540709
3778.6,10781.6,3345.9,2626.7,1030.4,0.3504,0.3103,0.244,0.0953,10.90106295,3.591924567,2.150680963,1.89E+00,633,0.004737453
4240.2,11952.2,3578.6,3044.8,1088.6,0.3547,0.2997,0.2551,0.0907,10.16612202,2.088062544,1.653179886,1.03E+00,536,0.002571684
3875.7,11001.3,3285.3,2739.5,1100.8,0.3521,0.2988,0.2495,0.0997,10.98255476,2.47955039,2.112524199,1.67E+00,555,0.004183016
