evolution$generation,evolution$evaluated,infectiousPeriod,immunityPeriod,vaccinationRate,socialDistancingLevels,objective$ProportionSick,objective$ProportionVaccinated,evolution$samples,CumulativePopulation,CumulativeSick,ProportionImmune,CumulativeImmune,CumulativeSusceptible,CumulativeVaccinated,ProportionSusceptible,ProportionVaccinated,ProportionSick
10000,10000,2.0416359408244262,9.252078883653265,0.0027721078428452174,2.1110773502271116,0.2955,0.094,28,"[13304.0,13630.0,11467.0,11414.0,11486.0,11975.0,10969.0,12554.0,12979.0,13455.0,11961.0,13723.0,11772.0,10394.0,11634.0,13353.0,12139.0,11821.0,12586.0,13382.0,11809.0,12840.0,9965.0,12367.0,12288.0,11496.0,12135.0,12222.0]","[3921.0,4023.0,3353.0,3430.0,3427.0,3570.0,3276.0,3738.0,3829.0,3961.0,3533.0,4104.0,3494.0,3039.0,3434.0,3928.0,3589.0,3512.0,3706.0,3936.0,3478.0,3849.0,2964.0,3711.0,3663.0,3372.0,3604.0,3573.0]","[0.357,0.354,0.348,0.354,0.352,0.353,0.347,0.355,0.353,0.355,0.355,0.359,0.348,0.344,0.349,0.359,0.35,0.349,0.352,0.351,0.349,0.355,0.342,0.358,0.354,0.348,0.355,0.353]","[4747.0,4824.0,3986.0,4039.0,4048.0,4224.0,3811.0,4451.0,4581.0,4770.0,4246.0,4925.0,4096.0,3573.0,4059.0,4792.0,4252.0,4120.0,4433.0,4700.0,4117.0,4556.0,3406.0,4424.0,4351.0,3995.0,4310.0,4315.0]","[3252.0,3445.0,3048.0,2949.0,3016.0,3125.0,2893.0,3253.0,3329.0,3379.0,3026.0,3352.0,3076.0,2826.0,3050.0,3284.0,3148.0,3062.0,3225.0,3408.0,3141.0,3290.0,2769.0,3143.0,3088.0,3050.0,3123.0,3108.0]","[1384.0,1338.0,1080.0,996.0,995.0,1056.0,989.0,1112.0,1240.0,1345.0,1156.0,1342.0,1106.0,956.0,1091.0,1349.0,1150.0,1127.0,1222.0,1338.0,1073.0,1145.0,826.0,1089.0,1186.0,1079.0,1098.0,1226.0]","[0.244,0.253,0.266,0.258,0.263,0.261,0.264,0.259,0.256,0.251,0.253,0.244,0.261,0.272,0.262,0.246,0.259,0.259,0.256,0.255,0.266,0.256,0.278,0.254,0.251,0.265,0.257,0.254]","[0.104,0.098,0.094,0.087,0.087,0.088,0.09,0.089,0.096,0.1,0.097,0.098,0.094,0.092,0.094,0.101,0.095,0.095,0.097,0.1,0.091,0.089,0.083,0.088,0.097,0.094,0.09,0.1]","[0.295,0.295,0.292,0.301,0.298,0.298,0.299,0.298,0.295,0.294,0.295,0.299,0.297,0.292,0.295,0.294,0.296,0.297,0.294,0.294,0.295,0.3,0.297,0.3,0.298,0.293,0.297,0.292]"
10000,10000,3.643331047209198,9.050841164413777,0.0,1.0,0.326,0.0765,22,"[11572.0,12669.0,11477.0,10976.0,11898.0,11853.0,11181.0,14063.0,13292.0,11925.0,12310.0,12187.0,13274.0,11683.0,12659.0,15720.0,12590.0,12907.0,10591.0,11928.0,11278.0,12884.0]","[3803.0,4141.0,3773.0,3623.0,3901.0,3866.0,3639.0,4532.0,4301.0,3908.0,4054.0,3944.0,4261.0,3814.0,4112.0,5058.0,4101.0,4285.0,3486.0,3895.0,3679.0,4180.0]","[0.338,0.349,0.34,0.343,0.338,0.342,0.337,0.352,0.346,0.344,0.34,0.347,0.351,0.338,0.347,0.36,0.35,0.341,0.331,0.34,0.343,0.347]","[3914.0,4419.0,3907.0,3769.0,4026.0,4054.0,3772.0,4953.0,4593.0,4098.0,4180.0,4223.0,4656.0,3949.0,4390.0,5656.0,4403.0,4404.0,3508.0,4057.0,3870.0,4465.0]","[3002.0,3183.0,2919.0,2817.0,3064.0,3042.0,2928.0,3392.0,3317.0,3028.0,3147.0,3048.0,3254.0,3006.0,3188.0,3666.0,3102.0,3183.0,2820.0,3082.0,2934.0,3231.0]","[853.0,926.0,878.0,767.0,907.0,891.0,842.0,1186.0,1081.0,891.0,929.0,972.0,1103.0,914.0,969.0,1340.0,984.0,1035.0,777.0,894.0,795.0,1008.0]","[0.259,0.251,0.254,0.257,0.258,0.257,0.262,0.241,0.25,0.254,0.256,0.25,0.245,0.257,0.252,0.233,0.246,0.247,0.266,0.258,0.26,0.251]","[0.074,0.073,0.077,0.07,0.076,0.075,0.075,0.084,0.081,0.075,0.075,0.08,0.083,0.078,0.077,0.085,0.078,0.08,0.073,0.075,0.07,0.078]","[0.329,0.327,0.329,0.33,0.328,0.326,0.325,0.322,0.324,0.328,0.329,0.324,0.321,0.326,0.325,0.322,0.326,0.332,0.329,0.327,0.326,0.324]"
10000,10000,2.4081513252940714,9.072354914257378,8.449140786520997E-4,1.6246411760821715,0.314,0.068,1,"[10170.0]","[3197.0]","[0.346]","[3519.0]","[2761.0]","[693.0]","[0.271]","[0.068]","[0.314]"
10000,10000,2.000099625252275,9.019616535690863,0.005,2.96838396624406,0.267,0.134,1,"[12365.0]","[3307.0]","[0.331]","[4087.0]","[3314.0]","[1657.0]","[0.268]","[0.134]","[0.267]"
10000,10000,2.061950221885002,10.152542860180677,0.0024108978495020524,2.2051055720139927,0.2935,0.09,2,"[10170.0,11358.0]","[2984.0,3339.0]","[0.344,0.351]","[3496.0,3987.0]","[2838.0,2936.0]","[852.0,1096.0]","[0.279,0.258]","[0.084,0.096]","[0.293,0.294]"
10000,10000,2.008916625548591,10.624235893910118,0.002739157438621937,2.886405196664988,0.289,0.094,3,"[11177.0,10843.0,11551.0]","[3229.0,3196.0,3337.0]","[0.353,0.351,0.354]","[3951.0,3808.0,4085.0]","[2943.0,2865.0,2966.0]","[1054.0,974.0,1163.0]","[0.263,0.264,0.257]","[0.094,0.09,0.101]","[0.289,0.295,0.289]"
10000,10000,2.0448316746192385,9.038265057483203,0.0012232410593927751,2.8463184132506836,0.299,0.0795,4,"[11312.0,12013.0,10624.0,11274.0]","[3391.0,3545.0,3235.0,3364.0]","[0.354,0.349,0.352,0.352]","[4008.0,4194.0,3740.0,3967.0]","[3045.0,3209.0,2839.0,3024.0]","[868.0,1065.0,810.0,919.0]","[0.269,0.267,0.267,0.268]","[0.077,0.089,0.076,0.082]","[0.3,0.295,0.304,0.298]"
10000,10000,2.0,9.002013078004929,0.0038067253933139855,2.9651987448979984,0.283,0.111,5,"[10545.0,11590.0,10139.0,13422.0,11328.0]","[2958.0,3281.0,2950.0,3751.0,3218.0]","[0.337,0.339,0.336,0.344,0.332]","[3557.0,3931.0,3405.0,4617.0,3766.0]","[2959.0,3094.0,2786.0,3440.0,3070.0]","[1071.0,1284.0,998.0,1614.0,1274.0]","[0.281,0.267,0.275,0.256,0.271]","[0.102,0.111,0.098,0.12,0.112]","[0.281,0.283,0.291,0.279,0.284]"
10000,10000,2.0457265693609235,9.375218643149093,1.2930815514620623E-5,2.282806284059067,0.302,0.077,7,"[10275.0,10840.0,10511.0,12398.0,11421.0,13288.0,10381.0]","[3116.0,3326.0,3189.0,3739.0,3437.0,4006.0,3107.0]","[0.347,0.35,0.348,0.358,0.353,0.357,0.351]","[3563.0,3793.0,3653.0,4435.0,4030.0,4741.0,3642.0]","[2827.0,2916.0,2858.0,3231.0,3072.0,3330.0,2788.0]","[769.0,805.0,811.0,993.0,882.0,1211.0,844.0]","[0.275,0.269,0.272,0.261,0.269,0.251,0.269]","[0.075,0.074,0.077,0.08,0.077,0.091,0.081]","[0.303,0.307,0.303,0.302,0.301,0.301,0.299]"
10000,10000,2.011145523097222,9.000156118629526,0.003416828849548236,2.7314163558499422,0.288,0.1015,8,"[11420.0,12132.0,11304.0,11420.0,11946.0,12936.0,12098.0,11130.0]","[3246.0,3457.0,3251.0,3313.0,3521.0,3698.0,3485.0,3235.0]","[0.344,0.345,0.34,0.346,0.351,0.343,0.348,0.345]","[3923.0,4190.0,3849.0,3954.0,4199.0,4433.0,4206.0,3835.0]","[3124.0,3207.0,3064.0,2992.0,3105.0,3367.0,3152.0,2986.0]","[1127.0,1278.0,1140.0,1161.0,1121.0,1438.0,1255.0,1074.0]","[0.274,0.264,0.271,0.262,0.26,0.26,0.261,0.268]","[0.099,0.105,0.101,0.102,0.094,0.111,0.104,0.096]","[0.284,0.285,0.288,0.29,0.295,0.286,0.288,0.291]"
